SocialDynamo URL,MASTER
https://www.socialdynamo.gr/hosted_group/9579/,
https://www.socialdynamo.gr/hosted_group/11923/,
https://www.socialdynamo.gr/hosted_group/11943/,SoSCIety
https://www.socialdynamo.gr/hosted_group/11991/,
https://www.socialdynamo.gr/hosted_group/a21/,Α21 - Καταργώντας την αδικία στον 21ο αιώνα
https://www.socialdynamo.gr/hosted_group/acharnes-kung-fu/,
https://www.socialdynamo.gr/hosted_group/adrachti/,
https://www.socialdynamo.gr/hosted_group/aktes/,
https://www.socialdynamo.gr/hosted_group/all-accessible-limitless-living-2/,
https://www.socialdynamo.gr/hosted_group/all-for-blue/,All For Blue
https://www.socialdynamo.gr/hosted_group/aloni/,
https://www.socialdynamo.gr/hosted_group/amargi-integration/,
https://www.socialdynamo.gr/hosted_group/amke-anassa/,
https://www.socialdynamo.gr/hosted_group/antirropon/,
https://www.socialdynamo.gr/hosted_group/apicco/,
https://www.socialdynamo.gr/hosted_group/arion-erevnitiko-kentro-diasosis-kai-perithalpsis-kitodon/,ΑΡΙΩΝ Ερευνητικό Κέντρο Διάσωσης και Περίθαλψης Κητωδών 
https://www.socialdynamo.gr/hosted_group/best-buddies-elladas/,Best Buddies Greece - Φιλαράκια Ελλάδας
https://www.socialdynamo.gr/hosted_group/blue-greece/,
https://www.socialdynamo.gr/hosted_group/camellia-law-hub-for-all/,
https://www.socialdynamo.gr/hosted_group/careterra/,
https://www.socialdynamo.gr/hosted_group/challedu/,CHALLEDU
https://www.socialdynamo.gr/hosted_group/cheering/,
https://www.socialdynamo.gr/hosted_group/cinemathesis/,
https://www.socialdynamo.gr/hosted_group/co2gether/,Co2gether
https://www.socialdynamo.gr/hosted_group/com-p-a-s-s/,
https://www.socialdynamo.gr/hosted_group/community-trust-spetses/,
https://www.socialdynamo.gr/hosted_group/cosmus-diy/,
https://www.socialdynamo.gr/hosted_group/creative-islands-new-media/,
https://www.socialdynamo.gr/hosted_group/cultopia/,
https://www.socialdynamo.gr/hosted_group/cyberno/,Cyberno
https://www.socialdynamo.gr/hosted_group/diavazo-gia-tous-allous-2/,Διαβάζω για τους άλλους
https://www.socialdynamo.gr/hosted_group/diavazo-gia-tous-allous/,Διαβάζω για τους άλλους
https://www.socialdynamo.gr/hosted_group/dive-in-action/,
https://www.socialdynamo.gr/hosted_group/e-nable-greece/,e-Nable Greece
https://www.socialdynamo.gr/hosted_group/echedorou-fysis/,
https://www.socialdynamo.gr/hosted_group/eikoniko-mouseio-tinou/,
https://www.socialdynamo.gr/hosted_group/ellines-diasostes/,
https://www.socialdynamo.gr/hosted_group/elliniki-etaireia-gynaikon-panepistimiakon-el-e-gy-p/,
https://www.socialdynamo.gr/hosted_group/elliniki-etaireia-nosou-alzheimer-kai-syngenon-diatarachon-chalkidas/,Alzheimer Χαλκίδας
https://www.socialdynamo.gr/hosted_group/elliniki-etaireia-nosou-alzheimer-kai-syngenon-diatarachon/,Ελληνική Εταιρεία Νόσου Alzheimer & Συγγενών Διαταραχών
https://www.socialdynamo.gr/hosted_group/elliniki-etaireia-prostasias-tis-fysis/,Ελληνική Εταιρία Προστασίας της Φύσης
https://www.socialdynamo.gr/hosted_group/elliniko-diktyo-filoi-tis-fysis/,"""Ελληνικό Δίκτυο """"Φίλοι Της Φύσης"""""""
https://www.socialdynamo.gr/hosted_group/elliniko-diktyo-frontiston-epioni/,Ελληνικό Δίκτυο Φροντιστών ΕΠΙΟΝΗ
https://www.socialdynamo.gr/hosted_group/elpidochori/,
https://www.socialdynamo.gr/hosted_group/emantes/,
https://www.socialdynamo.gr/hosted_group/enaleia/,Enaleia
https://www.socialdynamo.gr/hosted_group/enosi-kyrion-dramas-s-a-f/,Ένωση Κυριών Δράμας
https://www.socialdynamo.gr/hosted_group/equalact-social/,
https://www.socialdynamo.gr/hosted_group/erifyli/,Εριφύλη
https://www.socialdynamo.gr/hosted_group/etaireia-erevnas-kai-ekpaidefsis-klinikon-dexiotiton-eeekd/,
https://www.socialdynamo.gr/hosted_group/etaireia-koinonikis-psyhiatrikis-kai-psihikis-ygeias/,
https://www.socialdynamo.gr/hosted_group/ethical-paths/,
https://www.socialdynamo.gr/hosted_group/exoraistikos-syllogos-molou-marmaron-parou-o-agios-nikolaos/,
https://www.socialdynamo.gr/hosted_group/eyes-of-light/,Eyes of Light
https://www.socialdynamo.gr/hosted_group/female-talk/,
https://www.socialdynamo.gr/hosted_group/filoi-tiniakou-topiou/,
https://www.socialdynamo.gr/hosted_group/filoi-ygrotopou-nafpliou-neas-kiou/,
https://www.socialdynamo.gr/hosted_group/filozoikos-syllogos-serifou-filoss/,
https://www.socialdynamo.gr/hosted_group/foodtreasure/,
https://www.socialdynamo.gr/hosted_group/g-all/,
https://www.socialdynamo.gr/hosted_group/genderhood/,Genderhood
https://www.socialdynamo.gr/hosted_group/generation-europe-corfu/,
https://www.socialdynamo.gr/hosted_group/geopaideia/,
https://www.socialdynamo.gr/hosted_group/geoparko-kefalonias-ithakis/,
https://www.socialdynamo.gr/hosted_group/greek-women-in-stem/,
https://www.socialdynamo.gr/hosted_group/gro2be/,
https://www.socialdynamo.gr/hosted_group/healing-lesvos/,
https://www.socialdynamo.gr/hosted_group/heterart/,HeterArt
https://www.socialdynamo.gr/hosted_group/heterotopia/,
https://www.socialdynamo.gr/hosted_group/home-start-ellas/,
https://www.socialdynamo.gr/hosted_group/house-hub/,
https://www.socialdynamo.gr/hosted_group/humanity-greece/,Humanity Greece
https://www.socialdynamo.gr/hosted_group/iaseas-2/,
https://www.socialdynamo.gr/hosted_group/immortaliting/,
https://www.socialdynamo.gr/hosted_group/indigo/,
https://www.socialdynamo.gr/hosted_group/jane-goodalls-roots-shoots/,
https://www.socialdynamo.gr/hosted_group/job-pairs/,
https://www.socialdynamo.gr/hosted_group/kaleidoskopio/,
https://www.socialdynamo.gr/hosted_group/kentro-sygchronis-erevnas-drasis-gia-tin-andro-2/,
https://www.socialdynamo.gr/hosted_group/kentro-sygchronis-erevnas-drasis-gia-tin-andro/,
https://www.socialdynamo.gr/hosted_group/kimolia/,
https://www.socialdynamo.gr/hosted_group/koin-s-ep-kalloni-kellia/,
https://www.socialdynamo.gr/hosted_group/koinsep-apano-meria/,
https://www.socialdynamo.gr/hosted_group/koinsep-voivii/,
https://www.socialdynamo.gr/hosted_group/kookoonari/,
https://www.socialdynamo.gr/hosted_group/kovo-ravo-dimiourgo/,
https://www.socialdynamo.gr/hosted_group/kroma/,KROMA
https://www.socialdynamo.gr/hosted_group/kykloi-exelixis/,
https://www.socialdynamo.gr/hosted_group/kyma-project/,
https://www.socialdynamo.gr/hosted_group/les-ecartes/,
https://www.socialdynamo.gr/hosted_group/lets-do-this-corfu-as-drasoume-kerkyra/,
https://www.socialdynamo.gr/hosted_group/m-eating-hub/,
https://www.socialdynamo.gr/hosted_group/m-power-greek-forum-of-migrants/,
https://www.socialdynamo.gr/hosted_group/mamagaia/,mamagea
https://www.socialdynamo.gr/hosted_group/mamagea/,mamagea
https://www.socialdynamo.gr/hosted_group/mazi-housing-project/,Mazí Housing
https://www.socialdynamo.gr/hosted_group/medasset-mesogeiakos-syndesmos-gia-ti-sotiria-ton-thalassion-chelonon/,MEDASSET
https://www.socialdynamo.gr/hosted_group/mellifera/,
https://www.socialdynamo.gr/hosted_group/mindspace/,Mindspace
https://www.socialdynamo.gr/hosted_group/my-artist/,MYARTIST
https://www.socialdynamo.gr/hosted_group/natura-di-zante/,
https://www.socialdynamo.gr/hosted_group/nisyrio/,
https://www.socialdynamo.gr/hosted_group/nosilia/,Σύλλογος Νοσηλεία
https://www.socialdynamo.gr/hosted_group/off-stream/,
https://www.socialdynamo.gr/hosted_group/oikokabos/,
https://www.socialdynamo.gr/hosted_group/oikologiki-omada-rodopis/,
https://www.socialdynamo.gr/hosted_group/oikomouseio-petriti-kai-notias-kerkyras/,
https://www.socialdynamo.gr/hosted_group/oikomouseio-zagoriou/,Οικομουσείο Ζαγορίου
https://www.socialdynamo.gr/hosted_group/okeanides-institouto-thalassias-erevnas-kai-ekpaidefsis/,
https://www.socialdynamo.gr/hosted_group/open-lab-athens/,
https://www.socialdynamo.gr/hosted_group/pagkritios-syndesmos-ethelonton-aimodoton-kai-doriton-organon-somatos-aimatokritis/,
https://www.socialdynamo.gr/hosted_group/peri-viou/,
https://www.socialdynamo.gr/hosted_group/perivallontiki-omada-apth/,
https://www.socialdynamo.gr/hosted_group/politistikos-morfotikos-exoraistikos-syllogos-tolou/,
https://www.socialdynamo.gr/hosted_group/poreia-ygeias/,
https://www.socialdynamo.gr/hosted_group/prassein-aloga/,"""Εικαστικό Θέατρο Κούκλας """"Πράσσειν Άλογα"""""""
https://www.socialdynamo.gr/hosted_group/prostasia-ypothalassion-schimatismon-ifaisteiou-santorinis-dive-in-action/,
https://www.socialdynamo.gr/hosted_group/prota-to-paidi/,
https://www.socialdynamo.gr/hosted_group/recompulsive-behaviours/,
https://www.socialdynamo.gr/hosted_group/rise-club/,
https://www.socialdynamo.gr/hosted_group/save-your-hood/,Save Your Hood
https://www.socialdynamo.gr/hosted_group/soma-ellinon-proskopon/,Σώμα Ελλήνων Προσκόπων
https://www.socialdynamo.gr/hosted_group/sonora/,
https://www.socialdynamo.gr/hosted_group/sporos-2/,
https://www.socialdynamo.gr/hosted_group/steps/,
https://www.socialdynamo.gr/hosted_group/sto-rafi/,
https://www.socialdynamo.gr/hosted_group/storymentor/,Storymentor – Ιστορίες που αλλάζουν τον κόσμο
https://www.socialdynamo.gr/hosted_group/syllogos-karkinopathon-kai-filon-dynami-psychis/,
https://www.socialdynamo.gr/hosted_group/syllogos-korakovouniou/,
https://www.socialdynamo.gr/hosted_group/syllogos-melissokomon-attikis/,
https://www.socialdynamo.gr/hosted_group/syllogos-triteknon-oikogeneion-p-e-dramas/,
https://www.socialdynamo.gr/hosted_group/synpraxis/,
https://www.socialdynamo.gr/hosted_group/technologia-choris-synora/,
https://www.socialdynamo.gr/hosted_group/the-bee-camp/,The Bee Camp
https://www.socialdynamo.gr/hosted_group/thehappyart/,TheHappyAct
https://www.socialdynamo.gr/hosted_group/this-is-not-a-feminist-project/,
https://www.socialdynamo.gr/hosted_group/to-mitato-tis-amorgou/,
https://www.socialdynamo.gr/hosted_group/unique-minds/,
https://www.socialdynamo.gr/hosted_group/urban-layers/,Urban Layers
https://www.socialdynamo.gr/hosted_group/urbana/,
https://www.socialdynamo.gr/hosted_group/volunteer-for-a-2nd-chance/,
https://www.socialdynamo.gr/hosted_group/we-need-books/,We Need Books
https://www.socialdynamo.gr/hosted_group/we4all/,
https://www.socialdynamo.gr/hosted_group/women-do-business/,Women Do Business
https://www.socialdynamo.gr/hosted_group/youbehero/,YouBeHero
https://www.socialdynamo.gr/hosted_group/youth-hive/,
https://www.socialdynamo.gr/hosted_group/zaatar/,Zaatar
https://www.socialdynamo.gr/hosted_group/zeidoros/,
https://www.socialdynamo.gr/partners/idryma-athinas-i-martinou/,Ίδρυμα Αθηνάς Ι. Μαρτίνου